date,count
2023-09-23,37
2023-09-24,69
2023-09-25,1
2023-09-29,4
2023-10-01,2
2023-10-04,2
2023-10-05,92
2023-10-08,90
2023-10-09,18
2023-10-11,12
2023-10-12,1
2023-10-13,12
2023-10-14,74
